groups,dimension,effect,lower,upper
White v. African Americans,Superiority,1.30437428497425,0.917808797252492,1.69093977269601
White v. Asian Americans,Superiority,0.703443125640399,0.308790958304714,1.09809529297608
White v. Hispanic Americans,Superiority,1.95414996890768,1.55277348682711,2.35552645098824
Asian v. African Americans,Superiority,0.799698713948471,0.387707989194899,1.21168943870204
Asian v. Hispanic Americans,Superiority,1.33115916358789,0.948189152536531,1.71412917463925
African v. Hispanic Americans,Superiority,0.147222728625301,-0.23512313772394,0.529568594974542
White v. African Americans,Americanness,1.08813680491421,0.699461352390128,1.47681225743829
White v. Asian Americans,Americanness,1.49984744001524,1.10114289165544,1.89855198837504
White v. Hispanic Americans,Americanness,2.12118501706464,1.72172118782295,2.52064884630633
African v. Asian Americans,Americanness,0.320133951913499,-0.0735773857475204,0.713845289574518
African v. Hispanic Americans,Americanness,0.759990428596108,0.357336124863726,1.16264473232849
Asian v. Hispanic Americans,Americanness,0.43522773054883,0.0327730874259135,0.837682373671747
