groups,dimension,effect,lower,upper
White v. African Americans,Superiority,1.30030278526548,0.908765581602859,1.6918399889281
White v. Asian Americans,Superiority,0.273433252535808,-0.128977597263851,0.675844102335466
White v. Hispanic Americans,Superiority,1.13833583204356,0.735473164644993,1.54119849944213
Asian v. African Americans,Superiority,1.0309331660611,0.626831352826103,1.43503497929609
Asian v. Hispanic Americans,Superiority,0.818643727039749,0.432427098660572,1.20486035541893
African v. Hispanic Americans,Superiority,-0.332083681298546,-0.729269154924456,0.0651017923273636
White v. African Americans,Americanness,0.376908301377328,-0.0186909208635795,0.772507523618236
White v. Asian Americans,Americanness,1.08933396889051,0.705881673046603,1.47278626473442
White v. Hispanic Americans,Americanness,1.34829383380546,0.953949027561963,1.74263864004895
African v. Asian Americans,Americanness,0.671917147508362,0.284290493486244,1.05954380153048
African v. Hispanic Americans,Americanness,0.776938353903669,0.377426399998112,1.17645030780923
Asian v. Hispanic Americans,Americanness,-0.0402289240442218,-0.432333606419105,0.351875758330661
