groups,dimension,effect,lower,upper
White v. Black people,Superiority,1.15743378215417,0.77374926725368,1.54111829705466
White v. Asian people,Superiority,0.859113922138963,0.471526772159784,1.24670107211814
White v. Hispanic people,Superiority,2.6718438301706,2.26516142315297,3.07852623718823
Asian v. Black people,Superiority,0.336024279977025,-0.0794204868489405,0.75146904680299
Asian v. Hispanic people,Superiority,1.02065974438802,0.628845666659159,1.41247382211688
Black v. Hispanic people,Superiority,0.509739315903319,0.123942274913736,0.895536356892902
White v. Black people,Americanness,0.871320423207674,0.476600434077899,1.26604041233745
White v. Asian people,Americanness,2.57016797098289,2.16614885181201,2.97418709015377
White v. Hispanic people,Americanness,3.47909133246464,3.07953381861684,3.87864884631244
Black v. Asian people,Americanness,1.04388035854939,0.655569049862877,1.43219166723591
Black v. Hispanic people,Americanness,1.53411179384157,1.14238289897508,1.92584068870806
Asian v. Hispanic people,Americanness,0.552666560373626,0.164001106103762,0.94133201464349
