groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.491087270506945,0.064080809618001,0.918093731395888
White v. Asian Americans,Superiority,0.141643755980638,-0.256623942140281,0.539911454101557
White v. Hispanic Americans,Superiority,0.215814426023025,-0.18400174168116,0.615630593727211
Asian v. African Americans,Superiority,0.326695191572248,-0.0919949951513898,0.745385378295886
Asian v. Hispanic Americans,Superiority,0.0521737616276827,-0.328118294186717,0.432465817442082
African v. Hispanic Americans,Superiority,-0.29868750582413,-0.728198799002597,0.130823787354337
White v. African Americans,Americanness,0.211078879233793,-0.204999655276382,0.627157413743968
White v. Asian Americans,Americanness,1.07699138730503,0.675158709661023,1.47882406494904
White v. Hispanic Americans,Americanness,1.79990306644128,1.40253694742201,2.19726918546055
African v. Asian Americans,Americanness,0.659060721159826,0.229831593399716,1.08828984891994
African v. Hispanic Americans,Americanness,1.16036122934362,0.749816463653548,1.57090599503368
Asian v. Hispanic Americans,Americanness,0.527234514809363,0.122076462568832,0.932392567049893
