groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.8605212777206,0.458143378933836,1.26289917650736
White v. Asian Americans,Superiority,0.799939314684526,0.402194001204957,1.19768462816409
White v. Hispanic Americans,Superiority,1.27718611622201,0.875486657606331,1.67888557483768
Asian v. African Americans,Superiority,0.0126267499753396,-0.380730852883193,0.405984352833872
Asian v. Hispanic Americans,Superiority,0.292059704488653,-0.101188242818183,0.685307651795489
African v. Hispanic Americans,Superiority,0.295332407279773,-0.107900869023065,0.69856568358261
White v. African Americans,Americanness,0.554075766778428,0.146247566630201,0.961903966926655
White v. Asian Americans,Americanness,0.913853311401756,0.509897140377573,1.31780948242594
White v. Hispanic Americans,Americanness,1.78543304517851,1.38583052971055,2.18503556064648
African v. Asian Americans,Americanness,0.292473560272469,-0.103407534141735,0.688354654686673
African v. Hispanic Americans,Americanness,0.912214338492959,0.519340877709733,1.30508779927619
Asian v. Hispanic Americans,Americanness,0.606153400891634,0.208450388203009,1.00385641358026
