groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.86860733737629,0.488150382797801,1.24906429195478
White v. Asian Americans,Superiority,0.257856765192265,-0.129451501165398,0.645165031549929
White v. Hispanic Americans,Superiority,1.1857642609054,0.782152493636113,1.58937602817468
Asian v. African Americans,Superiority,0.714053941600742,0.30925617972887,1.11885170347261
Asian v. Hispanic Americans,Superiority,1.04730156002565,0.665471501912886,1.4291316181384
African v. Hispanic Americans,Superiority,0.0825412247779167,-0.303679502983884,0.468761952539717
White v. African Americans,Americanness,0.846846415951054,0.459506118844105,1.234186713058
White v. Asian Americans,Americanness,1.58754827590483,1.18522418511811,1.98987236669155
White v. Hispanic Americans,Americanness,2.59420199908787,2.20050961351143,2.98789438466431
African v. Asian Americans,Americanness,0.741290224794013,0.356268194268235,1.12631225531979
African v. Hispanic Americans,Americanness,1.58586854640735,1.17320295287627,1.99853413993844
Asian v. Hispanic Americans,Americanness,0.722422042159337,0.310780301560574,1.1340637827581
