groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.971680605292739,0.56140924121013,1.38195196937535
White v. Asian Americans,Superiority,0.649217136635975,0.259919194731305,1.03851507854065
White v. Hispanic Americans,Superiority,0.808091741024505,0.40901785910294,1.20716562294607
Asian v. African Americans,Superiority,0.333857543631183,-0.0762056463097252,0.74392073357209
Asian v. Hispanic Americans,Superiority,0.0933742451268365,-0.306220551997499,0.492969042251172
African v. Hispanic Americans,Superiority,-0.272151586636191,-0.683468284199959,0.139165110927577
White v. African Americans,Americanness,0.153327083096544,-0.25153323431468,0.558187400507768
White v. Asian Americans,Americanness,0.850836813711623,0.455431193438038,1.24624243398521
White v. Hispanic Americans,Americanness,1.30888552588905,0.918645994595433,1.69912505718266
African v. Asian Americans,Americanness,0.662602178097407,0.255747923601741,1.06945643259307
African v. Hispanic Americans,Americanness,1.10470990468437,0.686412167587932,1.52300764178081
Asian v. Hispanic Americans,Americanness,0.475913164141974,0.0742100702190588,0.877616258064889
