groups,dimension,effect,lower,upper
White v. Black people,Superiority,0.644727515308297,0.244837647431387,1.04461738318521
White v. Asian people,Superiority,0.170306690360996,-0.21681155017611,0.557424930898101
White v. Hispanic people,Superiority,1.50504489517005,1.10985539263975,1.90023439770035
Asian v. Black people,Superiority,0.45954779635919,0.0784456292013581,0.840649963517022
Asian v. Hispanic people,Superiority,1.10152896217505,0.695584071802813,1.50747385254728
Black v. Hispanic people,Superiority,0.416726437185037,0.0257428488686108,0.807710025501464
White v. Black people,Americanness,0.429595797153,0.0272268477553793,0.83196474655062
White v. Asian people,Americanness,1.03420400167897,0.625395595588958,1.44301240776899
White v. Hispanic people,Americanness,1.93159119833011,1.54642051835341,2.31676187830682
Black v. Asian people,Americanness,0.430455631116238,0.0555106609377447,0.805400601294731
Black v. Hispanic people,Americanness,1.09754142888433,0.701001293673245,1.49408156409541
Asian v. Hispanic people,Americanness,0.733057337706312,0.32851636949691,1.13759830591571
