groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.479113698295393,0.0442372163409178,0.913990180249868
White v. Asian Americans,Superiority,0.763117150881077,0.367502412710869,1.15873188905128
White v. Hispanic Americans,Superiority,0.747065428739583,0.343497360737891,1.15063349674128
Asian v. African Americans,Superiority,-0.120727452624003,-0.534647652582976,0.29319274733497
Asian v. Hispanic Americans,Superiority,-0.0648889421659168,-0.447284787652732,0.317506903320899
African v. Hispanic Americans,Superiority,0.0733483296290093,-0.354920282610591,0.501616941868609
White v. African Americans,Americanness,0.369234858414125,-0.047687849623658,0.786157566451908
White v. Asian Americans,Americanness,1.20895855613126,0.794490627536549,1.62342648472598
White v. Hispanic Americans,Americanness,2.04513912996099,1.64191730755699,2.44836095236499
African v. Asian Americans,Americanness,0.561843657914821,0.137772966457965,0.985914349371677
African v. Hispanic Americans,Americanness,1.14242980538093,0.725280989187987,1.55957862157387
Asian v. Hispanic Americans,Americanness,0.682246411735039,0.278012983969183,1.08647983950089
