groups,dimensions,effect,lower,upper
White v. African Americans,Superiority,0.21134724868416158,0.15291119386149568,0.26978330350682744
White v. Asian Americans,Superiority,0.048852669127211354,-0.009583248432680713,0.10728858668710342
White v. Hispanic Americans,Superiority,0.36461935406964563,0.30618301265397413,0.42305569548531713
Asian v. African Americans,Superiority,0.14985321455582815,0.09141723184188091,0.20828919726977538
Asian v. Hispanic Americans,Superiority,0.26548164769497734,0.2070455090727392,0.3239177863172155
African v. Hispanic Americans,Superiority,0.08257991669440447,0.024143984743506645,0.14101584864530228
White v. African Americans,Americanness,0.11910652052489618,0.03356496308565729,0.20464807796413506
White v. Asian Americans,Americanness,0.23641777427024652,0.15087579210947266,0.32195975643102037
White v. Hispanic Americans,Americanness,0.4896298151511302,0.4040859608477248,0.5751736694545356
African v. Asian Americans,Americanness,0.09310075419103803,0.0075592529505246475,0.1786422554315514
African v. Hispanic Americans,Americanness,0.312970051662474,0.22742764121922548,0.3985124621057225
Asian v. Hispanic Americans,Americanness,0.22969164955767415,0.14414969932309252,0.3152335997922558
