groups,dimensions,effect,lower,upper
White v. African Americans,Superiority,1.1640173624560226,0.7649087352874431,1.5631259896246021
White v. Asian Americans,Superiority,0.6918939186539035,0.2919826550027992,1.091805182305008
White v. Hispanic Americans,Superiority,1.6351181015209908,1.2341139434909492,2.0361222595510324
Asian v. African Americans,Superiority,0.47660061255773856,0.08332267729982046,0.8698785478156567
Asian v. Hispanic Americans,Superiority,0.7285074830872157,0.33016348595533723,1.126851480219094
African v. Hispanic Americans,Superiority,0.14720182599536602,-0.23990050914038097,0.534304161131113
White v. African Americans,Americanness,0.5101744039058195,0.11071373073114177,0.9096350770804972
White v. Asian Americans,Americanness,1.020457703975694,0.6318908896080144,1.4090245183433734
White v. Hispanic Americans,Americanness,1.7947330855898513,1.3961062221799825,2.19335994899972
African v. Asian Americans,Americanness,0.4520894448033763,0.03914497437478692,0.8650339152319657
African v. Hispanic Americans,Americanness,1.139704051158865,0.7343904287287913,1.5450176735889385
Asian v. Hispanic Americans,Americanness,0.6966128706861459,0.28501771571469015,1.1082080256576017
